medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
31/7/2024,Gold Medal,1,QUAN Hongchan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Diving,Women's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--,28/3/2007,1901545,DIVW10MTEAM2CHN01,TRUE,GUANG DONG
1/8/2024,Bronze Medal,3,TANG Muhan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,4/9/2003,1945224,SWMW4X200MFRCHN01,TRUE,JI LIN
1/8/2024,Bronze Medal,3,KONG Yaqi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,24/1/2008,1945222,SWMW4X200MFRCHN01,TRUE,ZHE JIANG
1/8/2024,Bronze Medal,3,GE Chutong,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,23/9/2003,1945171,SWMW4X200MFRCHN01,TRUE,SHAN DONG
1/8/2024,Bronze Medal,3,LIU Yaxin,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,16/6/1999,1945223,SWMW4X200MFRCHN01,TRUE,ZHE JIANG
1/8/2024,Bronze Medal,3,LI Bingjie,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,3/3/2002,1945169,SWMW4X200MFRCHN01,TRUE,HE BEI
1/8/2024,Bronze Medal,3,YANG Junxuan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Swimming,Women's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-200m-freestyle-relay/fnl-000100--,26/1/2002,1945159,SWMW4X200MFRCHN01,TRUE,SHAN DONG
2/8/2024,Gold Medal,1,ZHENG Si Wei,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,ZHENG Si Wei / HUANG Ya Qiong,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,26/2/1997,1913418,BDMXDOUBLES-CHN02,TRUE,ZHE JIANG
2/8/2024,Gold Medal,1,HUANG Ya Qiong,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,ZHENG Si Wei / HUANG Ya Qiong,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--,28/2/1994,1913432,BDMXDOUBLES-CHN02,TRUE,ZHE JIANG
2/8/2024,Gold Medal,1,LONG Daoyi,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,6/3/2003,1901551,DIVM3MTEAM2-CHN01,TRUE,GUI ZHOU
2/8/2024,Gold Medal,1,WANG Zongyuan,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--,24/10/2001,1901549,DIVM3MTEAM2-CHN01,TRUE,HU BEI
2/8/2024,Silver Medal,2,WANG Xinyu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,Wang / Zhang,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,26/9/2001,1927719,TENXDOUBLES-CHN01,TRUE,GUANG DONG
2/8/2024,Silver Medal,2,ZHANG Zhizhen,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,Wang / Zhang,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--,16/10/1996,1927704,TENXDOUBLES-CHN01,TRUE,SHANG HAI
