medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
9/8/2024,Silver Medal,2,ZHANG Ying,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,29/8/1998,1926920,HOCWTEAM11--CHN01,TRUE,JIANG SU
9/8/2024,Silver Medal,2,CHEN Yi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,28/1/1997,1926893,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,MA Ning,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,29/9/2000,1926908,HOCWTEAM11--CHN01,TRUE,JI LIN
9/8/2024,Silver Medal,2,LI Hong,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,31/5/1999,1926901,HOCWTEAM11--CHN01,TRUE,TIAN JIN
9/8/2024,Silver Medal,2,OU Zixia,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,24/9/1995,1926909,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,DAN Wen,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,14/6/1999,1926894,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,ZOU Meirong,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,1/9/2000,1926923,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,HE Jiangxin,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,19/8/1997,1926898,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,FAN Yunxia,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,7/12/2002,1926895,HOCWTEAM11--CHN01,TRUE,JIANG SU
9/8/2024,Silver Medal,2,CHEN Yang,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,15/2/1997,1926926,HOCWTEAM11--CHN01,TRUE,HE BEI
9/8/2024,Silver Medal,2,XU Wenyu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,6/12/1995,1926912,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,ZHONG Jiaqi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,23/9/1999,1926922,HOCWTEAM11--CHN01,TRUE,GUANG DONG
